시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,392.0,2.59
서울특별시,중구,343.0,2.52
서울특별시,용산구,478.0,2.62
서울특별시,성동구,849.0,2.85
서울특별시,광진구,856.0,2.79
서울특별시,동대문구,1154.0,2.96
서울특별시,중랑구,1339.0,2.9
서울특별시,성북구,1398.0,3.0
서울특별시,강북구,1250.0,2.79
서울특별시,도봉구,1184.0,2.94
서울특별시,노원구,1077.0,3.0
서울특별시,은평구,1604.0,2.94
서울특별시,서대문구,874.0,2.8
서울특별시,마포구,642.0,2.61
서울특별시,양천구,1266.0,3.08
서울특별시,강서구,1005.0,2.86
서울특별시,구로구,960.0,2.91
서울특별시,금천구,1152.0,2.86
서울특별시,영등포구,692.0,2.71
서울특별시,동작구,1146.0,3.01
서울특별시,관악구,1484.0,2.87
서울특별시,서초구,471.0,2.8
서울특별시,강남구,596.0,2.75
서울특별시,송파구,889.0,2.85
서울특별시,강동구,1399.0,2.98
부산광역시,중구,366.0,2.52
부산광역시,서구,893.0,2.85
부산광역시,동구,479.0,2.64
부산광역시,영도구,849.0,2.8
부산광역시,부산진구,861.0,2.74
부산광역시,동래구,1006.0,2.87
부산광역시,남구,1268.0,2.93
부산광역시,북구,1249.0,2.93
부산광역시,해운대구,1000.0,2.64
부산광역시,사하구,1531.0,2.99
부산광역시,금정구,1160.0,3.01
부산광역시,강서구,643.0,2.74
부산광역시,연제구,950.0,2.86
부산광역시,수영구,789.0,2.6
부산광역시,사상구,980.0,2.83
부산광역시,기장군,629.0,2.6
대구광역시,중구,413.0,2.63
대구광역시,동구,922.0,2.78
대구광역시,서구,1028.0,2.85
대구광역시,남구,1010.0,2.94
대구광역시,북구,1430.0,3.0
대구광역시,수성구,1276.0,2.95
대구광역시,달서구,1537.0,3.01
대구광역시,달성군,1309.0,2.98
대구광역시,군위군,667.0,2.5
인천광역시,중구,723.0,2.44
인천광역시,동구,649.0,2.85
인천광역시,미추홀구,1284.0,2.89
인천광역시,연수구,1218.0,2.86
인천광역시,남동구,1222.0,2.86
인천광역시,부평구,1283.0,2.86
인천광역시,계양구,1186.0,2.9
인천광역시,서구,1578.0,3.01
인천광역시,강화군,1139.0,2.34
인천광역시,옹진군,1572.0,2.39
광주광역시,동구,826.0,2.92
광주광역시,서구,1091.0,2.83
광주광역시,남구,1746.0,3.1
광주광역시,북구,1632.0,3.03
광주광역시,광산구,1679.0,3.0
대전광역시,동구,1011.0,2.79
대전광역시,중구,957.0,2.77
대전광역시,서구,1320.0,2.84
대전광역시,유성구,1309.0,2.83
대전광역시,대덕구,1124.0,2.74
울산광역시,중구,1040.0,2.95
울산광역시,남구,1100.0,2.83
울산광역시,동구,1660.0,2.92
울산광역시,북구,1090.0,2.85
울산광역시,울주군,1029.0,2.77
세종특별자치시,,2242.0,2.98
경기도,수원시,1093.0,2.85
경기도,성남시,1043.0,2.94
경기도,의정부시,1544.0,2.92
경기도,안양시,1084.0,2.89
경기도,부천시,1420.0,2.97
경기도,광명시,805.0,2.85
경기도,평택시,2437.0,3.03
경기도,동두천시,1391.0,2.8
경기도,안산시,1347.0,2.76
경기도,고양시,1054.0,2.95
경기도,과천시,651.0,3.05
경기도,구리시,675.0,2.85
경기도,남양주시,1387.0,2.9
경기도,오산시,1402.0,2.96
경기도,시흥시,1280.0,2.88
경기도,군포시,1261.0,2.94
경기도,의왕시,660.0,2.84
경기도,하남시,852.0,2.96
경기도,용인시,1233.0,2.89
경기도,파주시,1317.0,2.87
경기도,이천시,1377.0,2.93
경기도,안성시,1120.0,2.83
경기도,김포시,1376.0,2.94
경기도,화성시,1550.0,2.87
경기도,광주시,1376.0,2.92
경기도,양주시,1225.0,2.82
경기도,포천시,1205.0,2.53
경기도,여주시,1334.0,2.79
경기도,연천군,1325.0,2.58
경기도,가평군,1086.0,2.26
경기도,양평군,1112.0,2.51
충청북도,청주시,1440.0,2.87
충청북도,충주시,1875.0,2.7
충청북도,제천시,1824.0,2.54
충청북도,보은군,1063.0,2.57
충청북도,옥천군,848.0,2.55
충청북도,영동군,1597.0,2.7
충청북도,증평군,1320.0,2.8
충청북도,진천군,1512.0,2.79
충청북도,괴산군,1246.0,2.57
충청북도,음성군,1500.0,2.85
충청북도,단양군,981.0,2.38
충청남도,천안시,1482.0,2.82
충청남도,공주시,927.0,2.53
충청남도,보령시,1580.0,2.38
충청남도,아산시,1828.0,2.93
충청남도,서산시,1905.0,2.73
충청남도,논산시,1384.0,2.72
충청남도,계룡시,1561.0,2.9
충청남도,당진시,1457.0,2.75
충청남도,금산군,1077.0,2.59
