시도명,관광지출액,전년도 관광지출액
서울특별시,3.4987092303E10,4.5316474538E10
부산광역시,7.070856693E9,8.276811876E9
대구광역시,4.14037387E9,4.98408943E9
인천광역시,5.983628803E9,7.746190703E9
광주광역시,2.49544019E9,2.859690182E9
대전광역시,3.48816595E9,5.126310535E9
울산광역시,1.841285407E9,2.085569902E9
세종특별자치시,4.09675696E8,4.20317076E8
경기도,3.0006978746E10,3.2741813488E10
충청북도,4.432063063E9,4.902276467E9
충청남도,4.194194504E9,4.622974862E9
전라남도,2.785129354E9,2.911956515E9
경상북도,4.102416024E9,4.667035383E9
경상남도,4.606978652E9,5.046812959E9
제주특별자치도,2.146768352E9,2.602572855E9
강원특별자치도,3.891453924E9,4.185676174E9
전북특별자치도,2.558523584E9,2.958247136E9
