시도명,검색건수
서울특별시,67731592
부산광역시,22751332
대구광역시,11927080
인천광역시,27953567
광주광역시,6227895
대전광역시,9309937
울산광역시,6130501
세종특별자치시,2893991
경기도,132302961
충청북도,14151463
충청남도,22348831
전라남도,14808197
경상북도,20638967
경상남도,21358632
제주특별자치도,19988089
강원특별자치도,34960754
전북특별자치도,12021795
