시도명,검색건수
서울특별시,73243865
부산광역시,26915195
대구광역시,15392949
인천광역시,36924663
광주광역시,8101653
대전광역시,12033403
울산광역시,7899103
세종특별자치시,3485973
경기도,157174855
충청북도,17963251
충청남도,27284028
전라남도,17480131
경상북도,23557272
경상남도,25779078
제주특별자치도,14069939
강원특별자치도,34850405
전북특별자치도,13325980
