시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,424.0,2.63
서울특별시,중구,375.0,2.61
서울특별시,용산구,538.0,2.73
서울특별시,성동구,991.0,2.91
서울특별시,광진구,955.0,2.82
서울특별시,동대문구,1144.0,2.92
서울특별시,중랑구,1455.0,2.94
서울특별시,성북구,1396.0,2.96
서울특별시,강북구,1437.0,2.83
서울특별시,도봉구,1283.0,2.97
서울특별시,노원구,1336.0,3.02
서울특별시,은평구,1760.0,2.98
서울특별시,서대문구,954.0,2.84
서울특별시,마포구,718.0,2.65
서울특별시,양천구,1237.0,3.03
서울특별시,강서구,1236.0,2.88
서울특별시,구로구,1033.0,2.9
서울특별시,금천구,1226.0,2.9
서울특별시,영등포구,771.0,2.75
서울특별시,동작구,1236.0,3.0
서울특별시,관악구,1723.0,2.9
서울특별시,서초구,527.0,2.81
서울특별시,강남구,649.0,2.76
서울특별시,송파구,1010.0,2.92
서울특별시,강동구,1442.0,3.0
부산광역시,중구,361.0,2.58
부산광역시,서구,882.0,2.86
부산광역시,동구,588.0,2.74
부산광역시,영도구,983.0,2.88
부산광역시,부산진구,892.0,2.75
부산광역시,동래구,1051.0,2.88
부산광역시,남구,1323.0,2.97
부산광역시,북구,1335.0,2.98
부산광역시,해운대구,1103.0,2.7
부산광역시,사하구,1660.0,3.0
부산광역시,금정구,1228.0,3.01
부산광역시,강서구,715.0,2.84
부산광역시,연제구,1083.0,2.88
부산광역시,수영구,838.0,2.69
부산광역시,사상구,992.0,2.86
부산광역시,기장군,628.0,2.67
대구광역시,중구,399.0,2.62
대구광역시,동구,972.0,2.83
대구광역시,서구,946.0,2.85
대구광역시,남구,999.0,2.92
대구광역시,북구,1358.0,2.98
대구광역시,수성구,1285.0,2.96
대구광역시,달서구,1503.0,2.97
대구광역시,달성군,1229.0,2.96
대구광역시,군위군,650.0,2.46
인천광역시,중구,729.0,2.46
인천광역시,동구,851.0,2.85
인천광역시,미추홀구,1357.0,2.91
인천광역시,연수구,1417.0,2.9
인천광역시,남동구,1279.0,2.89
인천광역시,부평구,1303.0,2.86
인천광역시,계양구,1211.0,2.92
인천광역시,서구,1632.0,3.04
인천광역시,강화군,1089.0,2.34
인천광역시,옹진군,1452.0,2.38
광주광역시,동구,794.0,2.86
광주광역시,서구,1131.0,2.8
광주광역시,남구,1633.0,2.97
광주광역시,북구,1614.0,2.95
광주광역시,광산구,1664.0,2.91
대전광역시,동구,1118.0,2.84
대전광역시,중구,1047.0,2.8
대전광역시,서구,1405.0,2.88
대전광역시,유성구,1361.0,2.86
대전광역시,대덕구,1165.0,2.79
울산광역시,중구,1186.0,2.98
울산광역시,남구,1245.0,2.86
울산광역시,동구,1838.0,2.96
울산광역시,북구,1159.0,2.88
울산광역시,울주군,1125.0,2.84
세종특별자치시,,2340.0,3.02
경기도,수원시,1175.0,2.87
경기도,성남시,1138.0,2.97
경기도,의정부시,1605.0,2.92
경기도,안양시,1159.0,2.89
경기도,부천시,1527.0,2.98
경기도,광명시,969.0,2.9
경기도,평택시,2313.0,3.04
경기도,동두천시,1529.0,2.86
경기도,안산시,1447.0,2.83
경기도,고양시,1090.0,2.98
경기도,과천시,667.0,3.0
경기도,구리시,800.0,2.9
경기도,남양주시,1339.0,2.91
경기도,오산시,1461.0,2.95
경기도,시흥시,1220.0,2.9
경기도,군포시,1337.0,2.93
경기도,의왕시,820.0,2.9
경기도,하남시,830.0,2.98
경기도,용인시,1339.0,2.94
경기도,파주시,1259.0,2.87
경기도,이천시,1270.0,2.91
경기도,안성시,1148.0,2.84
경기도,김포시,1463.0,3.0
경기도,화성시,1627.0,2.9
경기도,광주시,1156.0,2.9
경기도,양주시,1337.0,2.86
경기도,포천시,1318.0,2.58
경기도,여주시,1028.0,2.71
경기도,연천군,1319.0,2.57
경기도,가평군,1103.0,2.27
경기도,양평군,918.0,2.47
충청북도,청주시,1448.0,2.87
충청북도,충주시,2048.0,2.75
충청북도,제천시,1951.0,2.63
충청북도,보은군,1101.0,2.57
충청북도,옥천군,942.0,2.58
충청북도,영동군,1745.0,2.73
충청북도,증평군,1382.0,2.88
충청북도,진천군,1516.0,2.83
충청북도,괴산군,1083.0,2.52
충청북도,음성군,1677.0,2.86
충청북도,단양군,1162.0,2.43
충청남도,천안시,1546.0,2.86
충청남도,공주시,926.0,2.54
충청남도,보령시,1815.0,2.44
충청남도,아산시,1923.0,2.96
충청남도,서산시,2016.0,2.77
충청남도,논산시,1459.0,2.76
충청남도,계룡시,1541.0,2.89
충청남도,당진시,1550.0,2.78
충청남도,금산군,1195.0,2.67
충청남도,부여군,1487.0,2.62
충청남도,서천군,1241.0,2.6
충청남도,청양군,1630.0,2.64
충청남도,홍성군,1615.0,2.74
충청남도,예산군,1302.0,2.61
충청남도,태안군,1775.0,2.41
전라남도,목포시,2062.0,2.81
전라남도,여수시,2337.0,2.6
전라남도,순천시,1842.0,2.82
전라남도,나주시,1459.0,2.82
전라남도,광양시,2007.0,2.91
전라남도,담양군,658.0,2.5
전라남도,곡성군,1244.0,2.64
전라남도,구례군,1136.0,2.54
전라남도,고흥군,2181.0,2.68
전라남도,보성군,1288.0,2.61
전라남도,화순군,1123.0,2.8
전라남도,장흥군,1814.0,2.74
전라남도,강진군,1456.0,2.72
전라남도,해남군,1740.0,2.74
전라남도,영암군,1446.0,2.79
전라남도,무안군,1328.0,2.8
전라남도,함평군,1013.0,2.63
전라남도,영광군,1679.0,2.77
전라남도,장성군,1109.0,2.72
전라남도,완도군,2351.0,2.76
전라남도,진도군,1740.0,2.66
전라남도,신안군,1767.0,2.72
경상북도,포항시,1658.0,2.77
경상북도,경주시,1436.0,2.51
경상북도,김천시,1882.0,2.85
경상북도,안동시,2038.0,2.84
경상북도,구미시,2360.0,3.03
경상북도,영주시,2558.0,2.84
경상북도,영천시,1335.0,2.69
경상북도,상주시,1326.0,2.72
경상북도,문경시,1442.0,2.57
경상북도,경산시,1855.0,2.99
경상북도,의성군,1488.0,2.65
경상북도,청송군,1549.0,2.58
경상북도,영양군,2791.0,2.8
경상북도,영덕군,1208.0,2.43
경상북도,청도군,1048.0,2.46
경상북도,고령군,861.0,2.68
경상북도,성주군,1194.0,2.57
경상북도,칠곡군,950.0,2.75
경상북도,예천군,1958.0,2.8
경상북도,봉화군,1695.0,2.71
경상북도,울진군,2264.0,2.64
경상북도,울릉군,5634.0,3.22
경상남도,창원시,1346.0,2.96
경상남도,진주시,2267.0,2.91
경상남도,통영시,1738.0,2.53
경상남도,사천시,1402.0,2.7
경상남도,김해시,1627.0,2.98
경상남도,밀양시,1305.0,2.61
경상남도,거제시,2718.0,2.7
경상남도,양산시,1344.0,2.91
경상남도,의령군,1275.0,2.68
경상남도,함안군,1101.0,2.81
경상남도,창녕군,1197.0,2.59
경상남도,고성군,952.0,2.6
경상남도,남해군,1423.0,2.45
경상남도,하동군,1173.0,2.53
경상남도,산청군,1233.0,2.48
경상남도,함양군,1672.0,2.63
경상남도,거창군,1914.0,2.73
경상남도,합천군,1339.0,2.54
제주특별자치도,제주시,2919.0,3.04
제주특별자치도,서귀포시,2146.0,3.02
강원특별자치도,춘천시,2356.0,2.8
강원특별자치도,원주시,2556.0,2.9
강원특별자치도,강릉시,2265.0,2.57
강원특별자치도,동해시,2071.0,2.79
강원특별자치도,태백시,2617.0,2.93
강원특별자치도,속초시,1433.0,2.46
강원특별자치도,삼척시,1803.0,2.63
강원특별자치도,홍천군,1557.0,2.46
강원특별자치도,횡성군,1335.0,2.56
강원특별자치도,영월군,1708.0,2.56
강원특별자치도,평창군,1643.0,2.55
강원특별자치도,정선군,2195.0,2.58
강원특별자치도,철원군,1930.0,2.73
강원특별자치도,화천군,1717.0,2.72
강원특별자치도,양구군,2333.0,2.91
강원특별자치도,인제군,1262.0,2.68
강원특별자치도,고성군,1492.0,2.46
강원특별자치도,양양군,1045.0,2.42
전북특별자치도,전주시,1681.0,2.84
전북특별자치도,군산시,2261.0,2.77
전북특별자치도,익산시,2251.0,2.92
전북특별자치도,정읍시,1664.0,2.75
전북특별자치도,남원시,1714.0,2.65
전북특별자치도,김제시,1199.0,2.77
전북특별자치도,완주군,959.0,2.65
전북특별자치도,진안군,1091.0,2.56
전북특별자치도,무주군,1056.0,2.41
전북특별자치도,장수군,1613.0,2.68
전북특별자치도,임실군,603.0,2.58
전북특별자치도,순창군,1057.0,2.64
전북특별자치도,고창군,1317.0,2.64
전북특별자치도,부안군,1415.0,2.43
