시도명,관광지출액,전년도 관광지출액
서울특별시,4.6274775795E10,4.4859595483E10
부산광역시,9.25208928E9,9.112025703E9
대구광역시,5.943306484E9,5.782765383E9
인천광역시,8.555099812E9,8.280674915E9
광주광역시,3.089440511E9,3.039315121E9
대전광역시,4.735938749E9,4.649415144E9
울산광역시,2.280281957E9,2.275797333E9
세종특별자치시,4.75852119E8,4.79602612E8
경기도,3.7739892525E10,3.7797440277E10
충청북도,5.451966174E9,5.504526421E9
충청남도,5.494785074E9,5.450421112E9
전라남도,3.566897798E9,3.605970422E9
경상북도,5.386215895E9,5.433864744E9
경상남도,5.569019559E9,5.573032874E9
제주특별자치도,2.986115465E9,3.059665619E9
강원특별자치도,4.939740736E9,5.091023475E9
전북특별자치도,3.358934288E9,3.289894617E9
