시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,337.0,2.61
서울특별시,중구,259.0,2.64
서울특별시,용산구,400.0,2.62
서울특별시,성동구,719.0,2.94
서울특별시,광진구,799.0,2.9
서울특별시,동대문구,1036.0,3.08
서울특별시,중랑구,1239.0,3.02
서울특별시,성북구,1204.0,3.12
서울특별시,강북구,1109.0,2.94
서울특별시,도봉구,1045.0,3.05
서울특별시,노원구,1018.0,3.11
서울특별시,은평구,1481.0,3.07
서울특별시,서대문구,752.0,2.92
서울특별시,마포구,571.0,2.7
서울특별시,양천구,1147.0,3.13
서울특별시,강서구,874.0,2.93
서울특별시,구로구,847.0,2.99
서울특별시,금천구,1104.0,2.96
서울특별시,영등포구,657.0,2.82
서울특별시,동작구,915.0,3.09
서울특별시,관악구,1259.0,2.93
서울특별시,서초구,435.0,2.92
서울특별시,강남구,586.0,2.87
서울특별시,송파구,820.0,2.91
서울특별시,강동구,1333.0,3.1
부산광역시,중구,343.0,2.56
부산광역시,서구,842.0,2.85
부산광역시,동구,403.0,2.64
부산광역시,영도구,846.0,2.89
부산광역시,부산진구,822.0,2.81
부산광역시,동래구,860.0,2.97
부산광역시,남구,1171.0,3.03
부산광역시,북구,1153.0,3.05
부산광역시,해운대구,922.0,2.69
부산광역시,사하구,1382.0,3.1
부산광역시,금정구,1064.0,3.12
부산광역시,강서구,604.0,2.85
부산광역시,연제구,900.0,2.96
부산광역시,수영구,732.0,2.66
부산광역시,사상구,906.0,2.9
부산광역시,기장군,660.0,2.67
대구광역시,중구,416.0,2.61
대구광역시,동구,775.0,2.81
대구광역시,서구,876.0,2.86
대구광역시,남구,866.0,2.91
대구광역시,북구,1160.0,2.98
대구광역시,수성구,1059.0,2.94
대구광역시,달서구,1323.0,3.02
대구광역시,달성군,1114.0,2.98
대구광역시,군위군,561.0,2.47
인천광역시,중구,468.0,2.39
인천광역시,동구,676.0,2.87
인천광역시,미추홀구,1229.0,2.99
인천광역시,연수구,1337.0,3.02
인천광역시,남동구,1041.0,2.93
인천광역시,부평구,1261.0,2.93
인천광역시,계양구,1030.0,2.97
인천광역시,서구,1472.0,3.06
인천광역시,강화군,1177.0,2.45
인천광역시,옹진군,1475.0,2.43
광주광역시,동구,750.0,2.9
광주광역시,서구,870.0,2.83
광주광역시,남구,1446.0,3.13
광주광역시,북구,1347.0,3.06
광주광역시,광산구,1304.0,2.97
대전광역시,동구,888.0,2.82
대전광역시,중구,805.0,2.74
대전광역시,서구,1209.0,2.87
대전광역시,유성구,1224.0,2.87
대전광역시,대덕구,915.0,2.78
울산광역시,중구,1039.0,3.08
울산광역시,남구,985.0,2.92
울산광역시,동구,1706.0,3.03
울산광역시,북구,1117.0,2.98
울산광역시,울주군,976.0,2.86
세종특별자치시,,2202.0,3.03
경기도,수원시,1046.0,2.92
경기도,성남시,1023.0,3.02
경기도,의정부시,1384.0,3.03
경기도,안양시,1112.0,3.01
경기도,부천시,1035.0,3.02
경기도,광명시,811.0,2.98
경기도,평택시,1861.0,3.04
경기도,동두천시,1266.0,2.9
경기도,안산시,1314.0,2.83
경기도,고양시,1053.0,3.04
경기도,과천시,601.0,3.13
경기도,구리시,627.0,2.92
경기도,남양주시,1238.0,2.97
경기도,오산시,1276.0,3.01
경기도,시흥시,1198.0,2.93
경기도,군포시,1179.0,3.04
경기도,의왕시,681.0,2.97
경기도,하남시,802.0,3.04
경기도,용인시,1259.0,3.0
경기도,파주시,1393.0,2.99
경기도,이천시,1246.0,2.92
경기도,안성시,1138.0,2.92
경기도,김포시,1307.0,3.02
경기도,화성시,1451.0,2.96
경기도,광주시,1433.0,3.03
경기도,양주시,1211.0,2.91
경기도,포천시,1266.0,2.68
경기도,여주시,971.0,2.7
경기도,연천군,1271.0,2.67
경기도,가평군,965.0,2.3
경기도,양평군,933.0,2.48
충청북도,청주시,1392.0,2.93
충청북도,충주시,1554.0,2.75
충청북도,제천시,1663.0,2.59
충청북도,보은군,894.0,2.61
충청북도,옥천군,725.0,2.61
충청북도,영동군,1381.0,2.74
충청북도,증평군,1191.0,2.75
충청북도,진천군,1542.0,2.95
충청북도,괴산군,833.0,2.51
충청북도,음성군,1431.0,2.9
충청북도,단양군,892.0,2.42
충청남도,천안시,1501.0,2.88
충청남도,공주시,867.0,2.58
