시도명,증가율(%)
세종특별자치시,-5.0
전라남도,-6.2
경상남도,-8.0
강원특별자치도,-8.8
전북특별자치도,-9.1
울산광역시,-9.5
충청남도,-10.5
충청북도,-11.1
경상북도,-11.3
제주특별자치도,-12.7
광주광역시,-13.6
경기도,-16.2
대전광역시,-16.4
부산광역시,-16.7
대구광역시,-19.1
인천광역시,-23.2
서울특별시,-25.5
