기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202301,23822.0,21720.0,9.7,12756.0,11702.0,9.0
202302,21561.0,18310.0,17.8,11885.0,9329.0,27.4
202303,26148.0,21846.0,19.7,13288.0,11324.0,17.3
202304,22684.0,22501.0,0.8,13318.0,13115.0,1.5
202305,24824.0,24104.0,3.0,13962.0,14617.0,-4.5
202306,23275.0,22796.0,2.1,13146.0,13415.0,-2.0
202307,24847.0,27099.0,-8.3,13573.0,14210.0,-4.5
202308,25609.0,25178.0,1.7,13798.0,13757.0,0.3
202309,26468.0,25626.0,3.3,14152.0,13410.0,5.5
202310,25950.0,25738.0,0.8,14166.0,15060.0,-5.9
202311,22690.0,22824.0,-0.6,13075.0,13479.0,-3.0
202312,23626.0,22060.0,7.1,14058.0,13986.0,0.5
