시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,417.0,2.65
서울특별시,중구,388.0,2.55
서울특별시,용산구,519.0,2.72
서울특별시,성동구,902.0,2.9
서울특별시,광진구,922.0,2.87
서울특별시,동대문구,1134.0,2.99
서울특별시,중랑구,1369.0,2.96
서울특별시,성북구,1327.0,2.99
서울특별시,강북구,1376.0,2.87
서울특별시,도봉구,1234.0,2.98
서울특별시,노원구,1192.0,3.07
서울특별시,은평구,1687.0,3.0
서울특별시,서대문구,930.0,2.86
서울특별시,마포구,692.0,2.72
서울특별시,양천구,1217.0,3.11
서울특별시,강서구,1072.0,2.91
서울특별시,구로구,999.0,2.93
서울특별시,금천구,1157.0,2.91
서울특별시,영등포구,739.0,2.75
서울특별시,동작구,1181.0,3.04
서울특별시,관악구,1589.0,2.92
서울특별시,서초구,498.0,2.88
서울특별시,강남구,626.0,2.79
서울특별시,송파구,973.0,2.95
서울특별시,강동구,1424.0,3.03
부산광역시,중구,375.0,2.61
부산광역시,서구,900.0,2.9
부산광역시,동구,551.0,2.74
부산광역시,영도구,908.0,2.92
부산광역시,부산진구,885.0,2.83
부산광역시,동래구,1053.0,2.94
부산광역시,남구,1309.0,3.01
부산광역시,북구,1317.0,3.03
부산광역시,해운대구,1015.0,2.7
부산광역시,사하구,1611.0,3.07
부산광역시,금정구,1194.0,3.08
부산광역시,강서구,669.0,2.8
부산광역시,연제구,1004.0,2.95
부산광역시,수영구,801.0,2.65
부산광역시,사상구,1017.0,2.91
부산광역시,기장군,625.0,2.71
대구광역시,중구,380.0,2.64
대구광역시,동구,910.0,2.79
대구광역시,서구,907.0,2.84
대구광역시,남구,951.0,2.92
대구광역시,북구,1328.0,3.0
대구광역시,수성구,1199.0,2.94
대구광역시,달서구,1432.0,2.99
대구광역시,달성군,1174.0,2.96
대구광역시,군위군,642.0,2.48
인천광역시,중구,805.0,2.49
인천광역시,동구,789.0,2.9
인천광역시,미추홀구,1363.0,2.94
인천광역시,연수구,1377.0,2.91
인천광역시,남동구,1230.0,2.91
인천광역시,부평구,1294.0,2.92
인천광역시,계양구,1173.0,2.96
인천광역시,서구,1580.0,3.06
인천광역시,강화군,1080.0,2.37
인천광역시,옹진군,1450.0,2.42
광주광역시,동구,780.0,2.89
광주광역시,서구,1042.0,2.81
광주광역시,남구,1513.0,3.04
광주광역시,북구,1504.0,3.0
광주광역시,광산구,1583.0,2.97
대전광역시,동구,1090.0,2.84
대전광역시,중구,1007.0,2.82
대전광역시,서구,1367.0,2.92
대전광역시,유성구,1368.0,2.89
대전광역시,대덕구,1068.0,2.79
울산광역시,중구,1116.0,3.03
울산광역시,남구,1167.0,2.91
울산광역시,동구,1689.0,2.98
울산광역시,북구,1130.0,2.93
울산광역시,울주군,1061.0,2.85
세종특별자치시,,2221.0,3.02
경기도,수원시,1149.0,2.93
경기도,성남시,1092.0,3.0
경기도,의정부시,1519.0,2.95
경기도,안양시,1121.0,2.93
