시도명,관광지출액,전년도 관광지출액
서울특별시,4.4859595483E10,4.2524560053E10
부산광역시,9.112025703E9,8.758019146E9
대구광역시,5.782765383E9,5.52522596E9
인천광역시,8.280674915E9,7.411856855E9
광주광역시,3.039315121E9,3.026998388E9
대전광역시,4.649415144E9,4.265912683E9
울산광역시,2.275797333E9,2.258849505E9
경기도,3.7797440277E10,3.7491921201E10
충청북도,5.504526421E9,5.505145839E9
충청남도,5.450421112E9,5.459352559E9
전라남도,3.605970422E9,3.606604403E9
경상북도,5.433864744E9,5.495941826E9
경상남도,5.573032874E9,5.679435819E9
제주특별자치도,3.059665619E9,3.466068411E9
강원특별자치도,5.091023475E9,5.191720526E9
전북특별자치도,3.289894617E9,3.265518633E9
세종특별자치시,4.79602612E8,4.77718358E8
