시도명,증가율(%)
제주특별자치도,28.4
세종특별자치시,6.1
경상북도,5.7
전라남도,3.7
충청북도,3.0
충청남도,3.0
대구광역시,1.7
경상남도,0.7
서울특별시,0.5
경기도,0.3
인천광역시,-0.3
대전광역시,-0.5
강원특별자치도,-0.6
광주광역시,-0.7
전북특별자치도,-0.8
부산광역시,-0.9
울산광역시,-1.3
