시도명,관광지출액,전년도 관광지출액
서울특별시,4.4544491947E10,4.6274775795E10
부산광역시,9.434538492E9,9.25208928E9
대구광역시,5.923932214E9,5.943306484E9
인천광역시,8.452313172E9,8.555099812E9
광주광역시,3.123045762E9,3.089440511E9
대전광역시,4.758753663E9,4.735938749E9
울산광역시,2.360075545E9,2.280281957E9
세종특별자치시,4.69889587E8,4.75852119E8
경기도,3.7294288701E10,3.7739892525E10
충청북도,5.507617733E9,5.451966174E9
충청남도,5.486583699E9,5.494785074E9
전라남도,3.597760801E9,3.566897798E9
경상북도,5.454552247E9,5.386215895E9
경상남도,5.648752031E9,5.569019559E9
제주특별자치도,2.656137907E9,2.986115465E9
강원특별자치도,4.954400837E9,4.939740736E9
전북특별자치도,3.418009033E9,3.358934288E9
