기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202101,17047.0,24372.0,-30.0,8905.0,11902.0,-25.2
202102,19043.0,17853.0,6.7,9486.0,9162.0,3.5
202103,22356.0,17702.0,26.3,10847.0,8707.0,24.6
202104,19542.0,18499.0,5.6,11040.0,9659.0,14.3
202105,21716.0,22123.0,-1.8,11780.0,11478.0,2.6
202106,20284.0,20216.0,0.3,11203.0,10768.0,4.0
202107,21012.0,22437.0,-6.4,11173.0,11069.0,0.9
202108,21338.0,22330.0,-4.4,11032.0,11031.0,0.0
202109,22787.0,19717.0,15.6,11677.0,10470.0,11.5
202110,23006.0,23523.0,-2.2,12959.0,11455.0,13.1
202111,21544.0,20358.0,5.8,12523.0,10721.0,16.8
202112,20736.0,17595.0,17.8,11995.0,9097.0,31.9
