순위,시도명,관광지명,주소,중분류,소분류
1,경기도,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰
2,경기도,스타필드수원,경기 수원시 장안구 수성로 175-0,쇼핑,쇼핑몰
3,경기도,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰
4,경기도,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰
5,서울특별시,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점
6,경기도,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점
7,경기도,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원
8,경기도,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰
9,강원특별자치도,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장
10,인천광역시,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰
11,서울특별시,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점
12,서울특별시,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설
13,경기도,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰
14,서울특별시,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장
15,인천광역시,인스파이어엔터테인먼트리조트,인천 중구 공항문화로 127-0,숙박,콘도미니엄
16,경기도,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰
17,경기도,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰
18,서울특별시,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰
19,경기도,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰
20,경기도,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰
21,부산광역시,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점
22,서울특별시,HDC아이파크몰용산점,서울 용산구 한강대로23길 55-0,쇼핑,백화점
23,경기도,롯데프리미엄아울렛의왕점,경기 의왕시 바라산로 1-0,쇼핑,쇼핑몰
24,부산광역시,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰
25,서울특별시,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰
26,경기도,롯데백화점동탄점,경기 화성시 동탄역로 160-0,쇼핑,백화점
27,서울특별시,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰
28,서울특별시,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장
29,경기도,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰
30,대구광역시,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점
31,인천광역시,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점
32,경기도,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰
33,경상남도,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰
