인기연령대,방문집중지역,연령,남성 방문자 비율,여성 방문자 비율
10대,경기도 용인시 수지구,70세 이상,3.9,4.2
10대,경기도 용인시 수지구,60~69세,6.4,6.6
10대,경기도 용인시 수지구,50~59세,8.9,9.8
10대,경기도 용인시 수지구,40~49세,9.7,9.7
10대,경기도 용인시 수지구,30~39세,8.2,7.9
10대,경기도 용인시 수지구,20~29세,6.8,6.7
10대,경기도 용인시 수지구,10~19세,5.0,4.8
10대,경기도 용인시 수지구,0~9세,0.7,0.9
10대,경상남도 거제시,70세 이상,2.7,2.4
10대,경상남도 거제시,60~69세,8.7,6.9
10대,경상남도 거제시,50~59세,13.3,10.7
10대,경상남도 거제시,40~49세,11.3,9.3
10대,경상남도 거제시,30~39세,7.4,5.9
10대,경상남도 거제시,20~29세,5.6,4.3
10대,경상남도 거제시,10~19세,4.9,4.7
10대,경상남도 거제시,0~9세,0.9,1.0
10대,대구광역시 수성구,70세 이상,3.7,4.3
10대,대구광역시 수성구,60~69세,7.7,7.8
10대,대구광역시 수성구,50~59세,9.8,11.0
10대,대구광역시 수성구,40~49세,8.4,8.7
10대,대구광역시 수성구,30~39세,7.4,6.3
10대,대구광역시 수성구,20~29세,7.1,6.7
10대,대구광역시 수성구,10~19세,5.1,4.6
10대,대구광역시 수성구,0~9세,0.7,0.8
10대,서울특별시 양천구,70세 이상,3.7,3.9
10대,서울특별시 양천구,60~69세,7.4,7.7
10대,서울특별시 양천구,50~59세,8.9,9.4
10대,서울특별시 양천구,40~49세,8.8,8.8
10대,서울특별시 양천구,30~39세,8.0,7.4
10대,서울특별시 양천구,20~29세,6.5,6.8
10대,서울특별시 양천구,10~19세,5.8,5.5
10대,서울특별시 양천구,0~9세,0.6,0.7
10대,전라남도 무안군,70세 이상,3.1,3.0
10대,전라남도 무안군,60~69세,8.1,6.0
10대,전라남도 무안군,50~59세,11.8,9.4
10대,전라남도 무안군,40~49세,10.1,8.6
10대,전라남도 무안군,30~39세,7.3,6.4
10대,전라남도 무안군,20~29세,7.9,6.2
10대,전라남도 무안군,10~19세,4.9,4.9
10대,전라남도 무안군,0~9세,1.1,1.2
