시도명,검색건수
서울특별시,71746760
부산광역시,26624086
대구광역시,14742815
인천광역시,35885184
광주광역시,7685533
대전광역시,11691653
울산광역시,7272029
세종특별자치시,3210747
경기도,149636932
충청북도,16634428
충청남도,25244070
전라남도,16412478
경상북도,22898763
경상남도,24774686
제주특별자치도,13227183
강원특별자치도,35310587
전북특별자치도,14106606
