시도명,관광지출액,전년도 관광지출액
서울특별시,3.5670616666E10,3.4987092303E10
부산광역시,7.551815521E9,7.070856693E9
대구광역시,4.760856607E9,4.14037387E9
인천광역시,6.045818214E9,5.983628803E9
광주광역시,2.68754906E9,2.49544019E9
대전광역시,3.464904244E9,3.48816595E9
울산광역시,1.911772527E9,1.841285407E9
세종특별자치시,4.34128262E8,4.09675696E8
경기도,3.2599665558E10,3.0006978746E10
충청북도,4.768387368E9,4.432063063E9
충청남도,4.693177045E9,4.194194504E9
전라남도,3.125186883E9,2.785129354E9
경상북도,4.803529317E9,4.102416024E9
경상남도,4.963763241E9,4.606978652E9
제주특별자치도,2.917419692E9,2.146768352E9
강원특별자치도,4.321700635E9,3.891453924E9
전북특별자치도,2.772365655E9,2.558523584E9
