시도명,증가율(%)
부산광역시,7.7
세종특별자치시,7.7
대전광역시,7.5
광주광역시,7.0
충청북도,6.8
대구광역시,6.7
서울특별시,6.3
전북특별자치도,6.1
충청남도,6.0
경상남도,6.0
경기도,5.5
울산광역시,5.5
경상북도,5.1
전라남도,4.7
인천광역시,4.6
강원특별자치도,3.1
제주특별자치도,2.3
