시도명,증가율(%)
강원특별자치도,17.7
제주특별자치도,14.9
서울특별시,14.5
인천광역시,14.3
전북특별자치도,13.5
광주광역시,13.1
대구광역시,12.7
충청북도,11.9
부산광역시,11.6
전라남도,10.8
충청남도,10.6
경상북도,10.0
경기도,9.4
울산광역시,9.4
대전광역시,9.4
경상남도,7.0
세종특별자치시,5.6
