시도명,검색건수
서울특별시,56509990
부산광역시,18863671
대구광역시,9493659
인천광역시,22774411
광주광역시,5111334
대전광역시,7268576
울산광역시,5116320
세종특별자치시,2451015
경기도,111095609
충청북도,11690068
충청남도,18900594
전라남도,13049111
경상북도,17471020
경상남도,18327070
제주특별자치도,19703136
강원특별자치도,29440143
전북특별자치도,10305898
