인기연령대,방문집중지역,연령,남성 방문자 비율,여성 방문자 비율
10대,경상남도 거제시,70세 이상,1.6,1.3
10대,경상남도 거제시,60~69세,6.7,4.5
10대,경상남도 거제시,50~59세,12.5,9.7
10대,경상남도 거제시,40~49세,13.1,10.3
10대,경상남도 거제시,30~39세,9.8,7.4
10대,경상남도 거제시,20~29세,6.8,5.8
10대,경상남도 거제시,10~19세,5.4,5.0
10대,경상북도 영주시,70세 이상,3.8,3.6
10대,경상북도 영주시,60~69세,8.5,7.1
10대,경상북도 영주시,50~59세,13.2,10.9
10대,경상북도 영주시,40~49세,10.3,8.7
10대,경상북도 영주시,30~39세,6.3,5.0
10대,경상북도 영주시,20~29세,7.0,5.5
10대,경상북도 영주시,10~19세,5.3,4.8
10대,대구광역시 수성구,70세 이상,3.0,3.0
10대,대구광역시 수성구,60~69세,6.6,6.0
10대,대구광역시 수성구,50~59세,10.3,10.8
10대,대구광역시 수성구,40~49세,9.2,9.5
10대,대구광역시 수성구,30~39세,7.3,6.5
10대,대구광역시 수성구,20~29세,8.9,8.3
10대,대구광역시 수성구,10~19세,5.6,5.0
10대,서울특별시 양천구,70세 이상,2.6,2.5
10대,서울특별시 양천구,60~69세,6.4,6.2
10대,서울특별시 양천구,50~59세,9.5,9.6
10대,서울특별시 양천구,40~49세,10.0,9.3
10대,서울특별시 양천구,30~39세,8.8,8.0
10대,서울특별시 양천구,20~29세,8.1,8.4
10대,서울특별시 양천구,10~19세,5.4,5.2
10대,충청남도 계룡시,70세 이상,2.5,2.2
10대,충청남도 계룡시,60~69세,7.6,5.4
10대,충청남도 계룡시,50~59세,12.5,10.6
10대,충청남도 계룡시,40~49세,10.9,9.3
10대,충청남도 계룡시,30~39세,7.6,5.4
10대,충청남도 계룡시,20~29세,10.3,6.0
10대,충청남도 계룡시,10~19세,5.2,4.5
