기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202201,21720.0,17047.0,27.4,11702.0,8905.0,31.4
202202,18310.0,19043.0,-3.8,9329.0,9486.0,-1.6
202203,21846.0,22356.0,-2.3,11324.0,10847.0,4.4
202204,22501.0,19542.0,15.1,13115.0,11040.0,18.8
202205,24104.0,21716.0,11.0,14617.0,11780.0,24.1
202206,22796.0,20284.0,12.4,13415.0,11203.0,19.7
202207,27099.0,21012.0,29.0,14210.0,11173.0,27.2
202208,25178.0,21338.0,18.0,13757.0,11032.0,24.7
202209,25626.0,22787.0,12.5,13410.0,11677.0,14.8
202210,25738.0,23006.0,11.9,15060.0,12959.0,16.2
202211,22824.0,21544.0,5.9,13479.0,12523.0,7.6
202212,22060.0,20736.0,6.4,13986.0,11995.0,16.6
