시도명,검색건수
서울특별시,46299110
부산광역시,15650991
대구광역시,7220256
인천광역시,19619840
광주광역시,4050259
대전광역시,5611618
울산광역시,4192828
세종특별자치시,1958467
경기도,89849809
충청북도,9225772
충청남도,15480306
전라남도,11478039
경상북도,13342115
경상남도,15548967
제주특별자치도,14000514
강원특별자치도,25880521
전북특별자치도,8731045
