인기연령대,방문집중지역,연령,남성 방문자 비율,여성 방문자 비율
10대,경기도 용인시 수지구,70세 이상,4.2,4.6
10대,경기도 용인시 수지구,60~69세,6.7,6.9
10대,경기도 용인시 수지구,50~59세,9.0,9.9
10대,경기도 용인시 수지구,40~49세,9.5,9.3
10대,경기도 용인시 수지구,30~39세,8.1,7.9
10대,경기도 용인시 수지구,20~29세,6.4,6.5
10대,경기도 용인시 수지구,10~19세,4.9,4.7
10대,경기도 용인시 수지구,0~9세,0.7,0.8
10대,경상남도 거제시,70세 이상,2.9,2.6
10대,경상남도 거제시,60~69세,8.9,7.0
10대,경상남도 거제시,50~59세,13.6,10.7
10대,경상남도 거제시,40~49세,11.0,8.6
10대,경상남도 거제시,30~39세,8.1,5.4
10대,경상남도 거제시,20~29세,5.9,4.0
10대,경상남도 거제시,10~19세,4.9,4.6
10대,경상남도 거제시,0~9세,0.9,0.9
10대,서울특별시 양천구,70세 이상,4.1,4.5
10대,서울특별시 양천구,60~69세,7.8,8.2
10대,서울특별시 양천구,50~59세,9.0,9.5
10대,서울특별시 양천구,40~49세,8.7,8.6
10대,서울특별시 양천구,30~39세,7.9,7.3
10대,서울특별시 양천구,20~29세,6.0,6.2
10대,서울특별시 양천구,10~19세,5.7,5.4
10대,서울특별시 양천구,0~9세,0.5,0.7
10대,전라남도 목포시,70세 이상,4.0,4.5
10대,전라남도 목포시,60~69세,8.3,8.1
10대,전라남도 목포시,50~59세,10.6,10.4
10대,전라남도 목포시,40~49세,8.8,7.8
10대,전라남도 목포시,30~39세,6.9,5.9
10대,전라남도 목포시,20~29세,7.3,6.4
10대,전라남도 목포시,10~19세,4.7,4.6
10대,전라남도 목포시,0~9세,0.8,0.9
10대,전라남도 무안군,70세 이상,3.2,3.1
10대,전라남도 무안군,60~69세,8.2,6.3
10대,전라남도 무안군,50~59세,11.8,9.5
10대,전라남도 무안군,40~49세,9.7,8.6
10대,전라남도 무안군,30~39세,7.4,6.7
10대,전라남도 무안군,20~29세,7.5,6.0
10대,전라남도 무안군,10~19세,5.0,5.0
10대,전라남도 무안군,0~9세,1.0,1.1
