인기연령대,방문집중지역,연령,남성 방문자 비율,여성 방문자 비율
10대,경기도 용인시 수지구,70세 이상,3.6,3.8
10대,경기도 용인시 수지구,60~69세,6.2,6.2
10대,경기도 용인시 수지구,50~59세,9.3,9.6
10대,경기도 용인시 수지구,40~49세,10.2,9.9
10대,경기도 용인시 수지구,30~39세,8.5,8.2
10대,경기도 용인시 수지구,20~29세,7.2,7.2
10대,경기도 용인시 수지구,10~19세,4.9,5.0
10대,경기도 용인시 수지구,0~9세,0.1,0.1
10대,경상남도 거제시,70세 이상,2.3,2.1
10대,경상남도 거제시,60~69세,8.3,6.3
10대,경상남도 거제시,50~59세,12.9,10.7
10대,경상남도 거제시,40~49세,11.7,10.1
10대,경상남도 거제시,30~39세,7.7,6.6
10대,경상남도 거제시,20~29세,5.7,5.0
10대,경상남도 거제시,10~19세,5.2,4.9
10대,경상남도 거제시,0~9세,0.2,0.2
10대,대구광역시 수성구,70세 이상,3.5,4.0
10대,대구광역시 수성구,60~69세,7.6,7.2
10대,대구광역시 수성구,50~59세,10.0,10.9
10대,대구광역시 수성구,40~49세,8.7,8.8
10대,대구광역시 수성구,30~39세,7.4,6.4
10대,대구광역시 수성구,20~29세,7.9,7.4
10대,대구광역시 수성구,10~19세,5.2,4.8
10대,대구광역시 수성구,0~9세,0.1,0.1
10대,서울특별시 노원구,70세 이상,3.8,4.2
10대,서울특별시 노원구,60~69세,7.5,7.6
10대,서울특별시 노원구,50~59세,8.9,9.9
10대,서울특별시 노원구,40~49세,8.0,7.9
10대,서울특별시 노원구,30~39세,7.5,7.0
10대,서울특별시 노원구,20~29세,9.0,9.0
10대,서울특별시 노원구,10~19세,4.8,4.6
10대,서울특별시 노원구,0~9세,0.1,0.1
10대,서울특별시 양천구,70세 이상,3.3,3.5
10대,서울특별시 양천구,60~69세,7.4,7.3
10대,서울특별시 양천구,50~59세,9.2,9.4
10대,서울특별시 양천구,40~49세,9.2,8.9
10대,서울특별시 양천구,30~39세,8.2,7.6
10대,서울특별시 양천구,20~29세,7.2,7.5
10대,서울특별시 양천구,10~19세,5.7,5.5
10대,서울특별시 양천구,0~9세,0.1,0.1
