시도명,증가율(%)
인천광역시,13.1
대전광역시,8.5
부산광역시,7.3
서울특별시,5.6
울산광역시,5.0
충청북도,4.8
충청남도,4.5
광주광역시,4.2
경기도,4.1
대구광역시,3.9
경상남도,3.6
세종특별자치시,2.2
전북특별자치도,1.7
경상북도,1.6
전라남도,1.3
강원특별자치도,-0.9
제주특별자치도,-11.0
