feature,importance
tourism_spending_prev_year,0.24371313926735114
destination_search,0.159035770878276
visitor_count,0.14353589603969813
tourism_spending_recovery_rate,0.11882224958166719
tourism_spending_growth_rate,0.10270740356285633
spending_per_visitor,0.0828560093635942
avg_stay_time,0.07207070367905974
visitor_per_search,0.04794435917498224
avg_lodging_days,0.029314468452515053
year,0.0
