k,inertia,silhouette
2,98.58284284408515,0.5867092224732326
3,58.19827595426898,0.5648881724962967
4,41.30044982668145,0.43804575326737355
5,27.612386819672427,0.3076067149659245
6,19.118421399459525,0.25572444083919077
7,13.275138991749849,0.25514542556266884
