region,year,tourism_spending,tourism_spending_prev_year,destination_search,avg_stay_time,avg_lodging_days,visitor_count,date,tourism_spending_recovery_rate
부산광역시,2020,7070856693.0,8276811876.0,15650991.0,978.875,2.830625,124725884.0,2020-01-01,0.8542971374646234
부산광역시,2021,7551815521.0,7070856693.0,18863671.0,952.125,2.865625,123660862.0,2021-01-01,1.0680198806003436
부산광역시,2022,8758019146.0,7551815521.0,22751332.0,915.8125,2.7843750000000003,138010708.0,2022-01-01,1.1597236613693493
부산광역시,2023,9112025703.0,8758019146.0,24749972.0,909.1875,2.784375,148044554.0,2023-01-01,1.040420847579636
부산광역시,2024,9252089280.0,9112025703.0,26915195.0,853.6875,2.81375,150240038.0,2024-01-01,1.0153712886206945
부산광역시,2025,9434538492.0,9252089280.0,26624086.0,850.625,2.859375,161883449.0,2025-01-01,1.0197197850645903
서울특별시,2020,34987092303.0,45316474538.0,46299110.0,1074.24,2.8664,483312564.0,2020-01-01,0.772061213050933
서울특별시,2021,35670616666.0,34987092303.0,56509990.0,1022.56,2.894,485882474.0,2021-01-01,1.0195364723961753
서울특별시,2022,42524560053.0,35670616666.0,67731592.0,980.0,2.8396,556130988.0,2022-01-01,1.1921453573728917
서울특별시,2023,44859595483.0,42524560053.0,72026120.0,939.48,2.8572,587266491.0,2023-01-01,1.0549102783683066
서울특별시,2024,46274775795.0,44859595483.0,73243865.0,883.08,2.8928,595780850.0,2024-01-01,1.0315468808125186
서울특별시,2025,44544491947.0,46274775795.0,71746760.0,877.84,2.9348,633285856.0,2025-01-01,0.9626084877068825
세종특별자치시,2020,409675696.0,420317076.0,1958467.0,2340.0,3.02,23921040.0,2020-01-01,0.9746824942225283
세종특별자치시,2021,434128262.0,409675696.0,2451015.0,2221.0,3.02,25390470.0,2021-01-01,1.0596876169095468
세종특별자치시,2022,477718358.0,434128262.0,2893991.0,2242.0,2.98,26820882.0,2022-01-01,1.1004083350832385
세종특별자치시,2023,479602612.0,477718358.0,2986324.0,2202.0,2.96,27405046.0,2023-01-01,1.0039442779797882
세종특별자치시,2024,475852119.0,479602612.0,3485973.0,2149.0,2.98,27966670.0,2024-01-01,0.9921799988028422
세종특별자치시,2025,469889587.0,475852119.0,3210747.0,2202.0,3.03,30128382.0,2025-01-01,0.9874697794505356
울산광역시,2020,1841285407.0,2085569902.0,4192828.0,1310.6,2.904,43244282.0,2020-01-01,0.8828691885293615
울산광역시,2021,1911772527.0,1841285407.0,5116320.0,1232.6,2.94,42680078.0,2021-01-01,1.038281474307041
울산광역시,2022,2258849505.0,1911772527.0,6130501.0,1183.8,2.864,46681992.0,2022-01-01,1.1815472150050412
울산광역시,2023,2275797333.0,2258849505.0,6534730.0,1218.6,2.888,49032032.0,2023-01-01,1.0075028584075592
울산광역시,2024,2280281957.0,2275797333.0,7899103.0,1133.8,2.916,49936890.0,2024-01-01,1.0019705726581938
울산광역시,2025,2360075545.0,2280281957.0,7272029.0,1164.6,2.974,52682231.0,2025-01-01,1.0349928603149492
인천광역시,2020,5983628803.0,7746190703.0,19619840.0,1232.0,2.755,135966530.0,2020-01-01,0.7724608175064187
인천광역시,2021,6045818214.0,5983628803.0,22774411.0,1214.1,2.788,135519552.0,2021-01-01,1.0103932601849934
인천광역시,2022,7411856855.0,6045818214.0,27953567.0,1185.4,2.74,154843507.0,2022-01-01,1.2259476869213057
인천광역시,2023,8280674915.0,7411856855.0,31969775.0,1171.9,2.74,175109028.0,2023-01-01,1.117220026910517
인천광역시,2024,8555099812.0,8280674915.0,36924663.0,1098.5,2.764,177319548.0,2024-01-01,1.0331404021794037
인천광역시,2025,8452313172.0,8555099812.0,35885184.0,1116.6,2.8040000000000003,185482860.0,2025-01-01,0.9879853371370578
전라남도,2020,2785129354.0,2911956515.0,11478039.0,1580.909090909091,2.7172727272727277,110317383.0,2020-01-01,0.9564460662971129
전라남도,2021,3125186883.0,2785129354.0,13049111.0,1495.0,2.7322727272727274,114436973.0,2021-01-01,1.1220975709841303
전라남도,2022,3606604403.0,3125186883.0,14808197.0,1604.409090909091,2.7145454545454544,126800233.0,2022-01-01,1.1540443941508762
전라남도,2023,3605970422.0,3606604403.0,15803635.0,1439.8636363636365,2.665,128427117.0,2023-01-01,0.9998242166511324
전라남도,2024,3566897798.0,3605970422.0,17480131.0,1331.409090909091,2.687272727272727,126777920.0,2024-01-01,0.9891644635348038
전라남도,2025,3597760801.0,3566897798.0,16412478.0,1369.2272727272727,2.735,132694562.0,2025-01-01,1.008652617694094
전북특별자치도,2020,2558523584.0,2958247136.0,8731045.0,1420.071428571429,2.6635714285714287,83792698.0,2020-01-01,0.8648782425458588
전북특별자치도,2021,2772365655.0,2558523584.0,10305898.0,1356.642857142857,2.6757142857142857,83144446.0,2021-01-01,1.0835802618108679
전북특별자치도,2022,3265518633.0,2772365655.0,12021795.0,1468.2142857142858,2.6685714285714286,94403148.0,2022-01-01,1.177881650319319
전북특별자치도,2023,3289894617.0,3265518633.0,12928517.0,1288.142857142857,2.6207142857142856,96051949.0,2023-01-01,1.0074646592898495
전북특별자치도,2024,3358934288.0,3289894617.0,13325980.0,1163.071428571429,2.630714285714286,96296204.0,2024-01-01,1.0209853746205877
전북특별자치도,2025,3418009033.0,3358934288.0,14106606.0,1179.5,2.672857142857143,102129580.0,2025-01-01,1.017587347633161
제주특별자치도,2020,2146768352.0,2602572855.0,14000514.0,2532.5,3.03,46183160.0,2020-01-01,0.824863883397416
