region,year,cluster,tourism_recovery_index,visitor_count,tourism_spending,destination_search,avg_stay_time,avg_lodging_days,tourism_spending_recovery_rate,tourism_spending_growth_rate,spending_per_visitor,visitor_per_search,tourism_consumption_share
전북특별자치도,2025,0,0.1057336800594738,102129580.0,3418009033.0,14106606.0,1179.5,2.672857142857143,1.017587347633161,0.0175873476331609,33.46737578867944,7.239840681734501,0.0223275032294707
울산광역시,2025,0,0.1247283952964092,52682231.0,2360075545.0,7272029.0,1164.6,2.974,1.0349928603149492,0.0349928603149492,44.79832194274385,7.244502325279506,0.0154167510512786
대전광역시,2025,0,0.1247302540861805,90947902.0,4758753663.0,11691653.0,1008.2,2.816,1.004817400563894,0.0048174005638939,52.3239520467443,7.7788745526402465,0.0310856661738051
광주광역시,2025,0,0.1385038314703026,70979688.0,3123045762.0,7685533.0,1143.4,2.978,1.0108774552804458,0.0108774552804457,43.99914750259257,9.235493231243687,0.0204007109588115
충청북도,2025,0,0.1413755315889795,122791739.0,5507617733.0,16634428.0,1227.090909090909,2.705454545454545,1.010207612671076,0.0102076126710759,44.85332464425803,7.381783070629179,0.0359774803205583
대구광역시,2025,0,0.1459276798848172,112428992.0,5923932214.0,14742815.0,905.5555555555557,2.842222222222222,0.996740152968359,-0.0032598470316409,52.69043249983065,7.6260193185629745,0.0386969766206732
전라남도,2025,0,0.1468115829281366,132694562.0,3597760801.0,16412478.0,1369.2272727272727,2.735,1.008652617694094,0.008652617694094,27.11309903566357,8.084980342395585,0.0235016979556328
세종특별자치시,2025,0,0.1641477486241621,30128382.0,469889587.0,3210747.0,2202.0,3.03,0.9874697794505356,-0.0125302205494644,15.596243668179724,9.383605123667484,0.003069465636265
강원특별자치도,2025,0,0.1732387799315097,151235214.0,4954400837.0,35310587.0,1468.2777777777778,2.6277777777777778,1.0029677875385563,0.0029677875385563,32.759571702659144,4.2829991469697175,0.0323636946597297
경상남도,2025,0,0.1777519671353169,166687846.0,5648752031.0,24774686.0,1286.8333333333333,2.710555555555556,1.0143171470588832,0.0143171470588832,33.8882058083587,6.728151710984349,0.0368994136636127
충청남도,2025,0,0.1933690893264091,175403844.0,5486583699.0,25244070.0,1409.9333333333334,2.7373333333333334,0.9985074256973568,-0.0014925743026432,31.279723259656727,6.948318714058391,0.035840079436731
경상북도,2025,0,0.1978066580084717,187787058.0,5454552247.0,22898763.0,1479.3636363636365,2.727272727272727,1.012687265667059,0.0126872656670588,29.04647585990724,8.200751193415993,0.035630839981519
부산광역시,2025,0,0.20787227589247,161883449.0,9434538492.0,26624086.0,850.625,2.859375,1.0197197850645905,0.0197197850645903,58.27982137939253,6.080338269640505,0.0616293539937805
제주특별자치도,2025,0,0.2179243274405968,59269886.0,2656137907.0,13227183.0,2168.5,3.105,0.8894960486733892,-0.1105039513266108,44.81429080190908,4.480915248545363,0.0173507229278472
인천광역시,2025,0,0.2282270480079189,185482860.0,8452313172.0,35885184.0,1116.6,2.8040000000000003,0.9879853371370578,-0.0120146628629421,45.56924112556816,5.168786650223112,0.0552131512299395
서울특별시,2025,1,0.7342106394068115,633285856.0,44544491947.0,71746760.0,877.84,2.9348,0.9626084877068825,-0.0373915122931175,70.33868122107562,8.82668229199479,0.2909785428299006
경기도,2025,1,0.8103452077555005,660044175.0,37294288701.0,149636932.0,1140.354838709677,2.915483870967742,0.9881927638319368,-0.0118072361680632,56.50271620229055,4.410971049580193,0.2436179493304437
