region,year,tourism_spending,tourism_spending_prev_year,destination_search,avg_stay_time,avg_lodging_days,visitor_count,date,tourism_spending_recovery_rate,tourism_spending_growth_rate,visitor_score,spending_score,search_score,stay_time_score,lodging_score,tourism_recovery_index,tourism_consumption_share,spending_per_visitor,visitor_per_search
강원특별자치도,2020,3891453924.0,4185676174.0,25880521.0,1851.0,2.650555555555556,131065291.0,2020-01-01,0.9297073548528172,-0.07029264514718285,0.1684331933627913,0.07591345533934447,0.1541206718455528,0.5468397676802187,0.11183496199782943,0.1699956019475561,0.03266258553880834,29.69095703606228,5.064244688118914
강원특별자치도,2021,4321700635.0,3891453924.0,29440143.0,1743.9444444444443,2.6283333333333334,130221676.0,2021-01-01,1.1105619440452612,0.11056194404526117,0.1671070114436256,0.08529415460897019,0.17705395901881185,0.4883194776600994,0.06840390879478854,0.16680348026502992,0.03389764362757229,33.18726012250065,4.423269139691339
강원특별자치도,2022,5191720526.0,4321700635.0,34960754.0,1809.055555555556,2.631111111111111,153264262.0,2022-01-01,1.201314242813119,0.20131424281311888,0.20333047940474605,0.10426325942117072,0.2126211505450056,0.5239114755342978,0.07383279044516855,0.19457677835472276,0.0347479484941461,33.87430610535938,4.383894637970337
강원특별자치도,2023,5091023475.0,5191720526.0,33780194.0,1658.611111111111,2.600555555555556,151848858.0,2023-01-01,0.9806043005405025,-0.019395699459497446,0.2011054322053544,0.10206775454311214,0.2050152526420084,0.4416733097976692,0.014115092290989393,0.1775338467618075,0.033212789489736536,33.52691315597514,4.495203846372227
강원특별자치도,2024,4939740736.0,5091023475.0,34850405.0,1440.8333333333333,2.5933333333333333,146618304.0,2024-01-01,0.9702844153552052,-0.02971558464479483,0.1928828826513282,0.0987693263553734,0.21191021401683435,0.322628402232092,0.0,0.16214054572858655,0.031848675165878686,33.6911599795889,4.207076044023018
강원특별자치도,2025,4954400837.0,4939740736.0,35310587.0,1468.2777777777778,2.6277777777777778,151235214.0,2025-01-01,1.0029677875385563,0.0029677875385563557,0.20014076991556046,0.09908896156751414,0.21487499116394848,0.3376304900732643,0.06731813246471237,0.17323877993150974,0.032363694659729776,32.759571702659144,4.2829991469697175
경기도,2020,30006978746.0,32741813488.0,89849809.0,1248.741935483871,2.855806451612904,548938292.0,2020-01-01,0.9164727163630589,-0.0835272836369411,0.8253390312553245,0.6453120779441036,0.5662504013429304,0.21762456329832372,0.5129767783965548,0.6275055471979023,0.25186100855717825,54.66366472025967,6.109509837689249
경기도,2021,32599665558.0,30006978746.0,111095609.0,1201.4193548387098,2.8806451612903223,550778084.0,2021-01-01,1.0864027942948309,0.08640279429483087,0.828231226018843,0.7018406106716824,0.7031289891889508,0.19175639485546142,0.5615214878638222,0.6749751371168761,0.2556983786691941,59.18838549501908,4.95769444857177
경기도,2022,37491921201.0,32599665558.0,132302961.0,1226.516129032258,2.841290322580645,602401426.0,2022-01-01,1.1500707310722529,0.1500707310722528,0.9093842908260207,0.808506804192247,0.8397598712321537,0.2054751644863727,0.4846064936429548,0.7523274685648438,0.2509317172052516,62.23743766668972,4.553196855511042
경기도,2023,37797440277.0,37491921201.0,142289587.0,1206.483870967742,2.8351612903225805,627366383.0,2023-01-01,1.0081489309219995,0.008148930921999566,0.9486297696121365,0.8151680580724421,0.9040998944003258,0.19452483551362731,0.47262792896921274,0.7766746036337228,0.24658272218453872,60.24779347636802,4.409081481134667
